,Title,Publication Date,Author,Genre,Average Rating,Number of Ratings,Pages,Rank,Language,Currently Reading,Want to Read
170,The Short Stories/The First Forty-nine Stories With a Brief Preface by the Author: The First Forty-nine Stories With a Brief Introduction by the Author,Library Binding,Ernest Hemingway,Fiction,4.17,24 ratings,Library Binding,13,English,11 people are currently reading,31 people want to read
171,Relatos,"First published January 1, 2010",Ernest Hemingway,,3.54,28 ratings,"93 pages, Kindle Edition",14,,,
172,بیست و یک داستان,"Published November 8, 2023",Ernest Hemingway,Fiction,3.77,26 ratings,"258 pages, Hardcover",15,Persian,3 people are currently reading,42 people want to read
173,In Our Time / The Torrents of Spring / Men without Women,"First published July 1, 1989",Ernest Hemingway,,3.69,26 ratings,Audio Cassette,16,English,,
174,O sol também se levanta,"First published January 1, 1926",Ernest Hemingway,,3.39,28 ratings,"264 pages, Hardcover",17,,,
175,Big Two-Hearted River: part 1 and 2 both,"Published July 7, 2022",Ernest Hemingway,,3.37,27 ratings,Kindle Edition,18,,,
176,One Trip Across,"24 pages, ebook",Ernest Hemingway,Short Stories,4.33,21 ratings,"24 pages, ebook",19,,7 people want to read,
177,Hemingway Box Set,"Published November 18, 2022",Ernest Hemingway,,3.86,22 ratings,Kindle Edition,21,,,
178,Noaptea dinaintea bataliei si alte povestiri,"First published January 1, 2008",Ernest Hemingway,,3.70,23 ratings,"392 pages, Hardcover",22,Romanian,,
179,الشيخ والبحر,"First published January 1, 1952",Ernest Hemingway,,3.82,22 ratings,"231 pages, Paperback",23,,,
180,Il principio dell'iceberg,"First published January 1, 1996",Ernest Hemingway,,3.82,22 ratings,"72 pages, Paperback",24,Italian,,
181,The Old Man And The See,"Published January 1, 2018",Ernest Hemingway,,3.77,22 ratings,Hardcover,25,,,
182,Котка в дъжда,"Published December 11, 1973",Ernest Hemingway,,2.93,28 ratings,"144 pages, Paperback",26,,,
183,Lew Miss Mary i inne opowiadania,"First published January 1, 1961",Ernest Hemingway,American,3.38,24 ratings,"117 pages, Hardcover",27,Polish,7 people want to read,
184,"Best Of Bad Hemingway, Vol 2: More Choice Entries from Harry's Bar & American Grill Imitation Hemingway Competition","First published October 15, 1991",Ernest Hemingway,Short Stories,4.05,20 ratings,"126 pages, Paperback",28,English,11 people want to read,
185,Collected Poems,"Published June 28, 1972",Ernest Hemingway,Poetry,2.58,31 ratings,"28 pages, Hardcover",29,English,23 people want to read,
186,Ten Poems,"Published October 18, 2020",Ernest Hemingway,,3.79,19 ratings,"17 pages, Kindle Edition",30,,,
187,A FAREWELL TO ARMS,"Published February 22, 2024",Ernest Hemingway,,3.88,26 ratings,"321 pages, Kindle Edition",1,English,,
188,Hemingway Boxed Set,"Published April 13, 2021",Ernest Hemingway,,4.47,19 ratings,"1216 pages, Paperback",2,English,,
189,Pozostałe opowiadania,"Published November 15, 2023",Ernest Hemingway,,4.16,19 ratings,"496 pages, Hardcover",3,Polish,,
190,The Strange Country,"Published March 15, 2019",Ernest Hemingway,,4.28,18 ratings,Kindle Edition,4,English,,
191,Με υπογραφή Χέμινγουεϊ: 1920-1922,"First published January 1, 1922",Ernest Hemingway,,3.80,20 ratings,"380 pages, Paperback",5,"Greek, Modern (1453-)",,
192,Selected Hemingway Stories: A New Audio Collection,"Published August 13, 2019",Ernest Hemingway,Fiction,3.08,24 ratings,Audio CD,6,English,28 people want to read,
193,"Прощай, оружие! Победитель не получает ничего. Пятая колонна","First published January 1, 2009",Ernest Hemingway,,4.44,16 ratings,"567 pages, Hardcover",7,Russian,,
194,The Most Dangerous Game and Other Stories of Menace and Adventure,"First published October 19, 2013",Ernest Hemingway,Fiction,4.18,17 ratings,"130 pages, Paperback",8,,1 person is currently reading,48 people want to read
195,Vaarallinen kesä - Vanhus ja meri,"First published January 1, 1952",Ernest Hemingway,,3.89,18 ratings,"256 pages, Hardcover",9,,,
196,Райський сад. Острови в океані,"Published January 1, 1989",Ernest Hemingway,,3.89,18 ratings,"589 pages, Hardcover",11,Ukrainian,,
197,"Anapus upės, medžių ūksmėje. Senis ir jūra","Published January 1, 1981",Ernest Hemingway,,4.19,16 ratings,"263 pages, Hardcover",12,,,
198,Den orörda platsen,"First published January 1, 1972",Ernest Hemingway,,3.88,17 ratings,"177 pages, Hardcover",13,Swedish,,
199,حاضرة الدنيا,"First published January 1, 1986",Ernest Hemingway,,2.95,22 ratings,"146 pages, Paperback",14,,,
200,Quotations of Ernest Hemingway,"Published July 12, 2018",Ernest Hemingway,,4.33,15 ratings,"32 pages, Hardcover",15,English,,
201,شادینامه کوتاه فرانسیس مکامبر و بیست و هفت داستان دیگر,"Published November 1, 2017",Ernest Hemingway,,3.88,16 ratings,"408 pages, paperback",16,Persian,,
202,"The Letters of Ernest Hemingway: Volume 4, 1929–1931","Published November 16, 2017",Ernest Hemingway,Nonfiction,4.36,14 ratings,"822 pages, Hardcover",17,English,2 people are currently reading,68 people want to read
203,Az öreg halász és a tenger - Elbeszélések,"Published January 1, 1985",Ernest Hemingway,,3.59,17 ratings,282 pages,18,Hungarian,,
204,"Contos, V.3","First published January 1, 1999",Ernest Hemingway,,4.21,14 ratings,"416 pages, Paperback",20,Portuguese,,
205,"Ernest Hemingway Best Collection: The Old Man and The Sea, The Sun Also Rises and For Whom the Bell Tolls","Published February 6, 2022",Ernest Hemingway,,4.54,13 ratings,"986 pages, Kindle Edition",21,,,
206,Articles for The Kansas City Star,"First published January 1, 1970",Ernest Hemingway,,3.11,19 ratings,"48 pages, Paperback",22,English,,
207,Despachos de la guerra civil española 1937-1938,"First published May 1, 1989",Ernest Hemingway,,3.47,17 ratings,Paperback,23,Spanish; Castilian,,
208,Эрнест Хемингуэй. Собрание сочинений в четырех томах. Том 2,"First published January 1, 1981",Ernest Hemingway,,4.38,13 ratings,Hardcover,24,,,
209,Il gatto. Racconti d'autore,"First published January 1, 2012",Ernest Hemingway,,3.24,17 ratings,Audiobook,26,,,
210,Night Before Battle,"Published January 1, 1939",Ernest Hemingway,Short Stories,3.67,15 ratings,Unknown Binding,27,,10 people want to read,
211,Old Man and the Sea,"Published January 1, 1990",Ernest Hemingway,,3.93,14 ratings,Audio Cassette,28,English,,
212,Yaşlı Balıkçı İle Deniz/Klimanjaro'nun Karları/Elli Bin Kağıt,"First published January 1, 1991",Ernest Hemingway,,3.93,14 ratings,"172 pages, Mass Market Paperback",29,,,
213,По телеграфа,"First published January 1, 1986",Ernest Hemingway,,3.44,16 ratings,"230 pages, Paperback",30,,,
214,París era una fiesta,"Published June 20, 2024",Ernest Hemingway,,3.42,19 ratings,"200 pages, Mass Market Paperback",1,Spanish; Castilian,,
215,"Mix War, Art, and Dancing","Published April 21, 1918",Ernest Hemingway,Short Stories,3.35,17 ratings,ebook,2,,1 person is currently reading,18 people want to read
216,"Dëborat e Kilimanxharos : tregime, novela etj.","Published January 1, 1990",Ernest Hemingway,,3.93,14 ratings,"557 pages, Paperback",3,,,
217,Narrativa esencial: El viejo y el mar; Por quién doblan las campanas; Cuentos,"Published February 1, 2013",Ernest Hemingway,,3.60,15 ratings,"1152 pages, Hardcover",4,Spanish; Castilian,,
218,همینگوی خبرنگار,"First published January 1, 1393",Ernest Hemingway,,3.86,14 ratings,"705 pages, Hardcover",6,,,
219,Ông Già Và Biển Cả Và Hạnh Phúc Ngắn Ngủi Của Francis Macomber,"Published January 1, 2015",Ernest Hemingway,,3.79,14 ratings,167 pages,7,,,
220,The Passing Of Pickles McCarty,"First published January 1, 1976",Ernest Hemingway,,3.25,16 ratings,23 pages,8,,,
221,The Snows of Kilimanjaro: AND The Undefeated,"Published June 20, 2007",Ernest Hemingway,,3.71,14 ratings,Paperback,9,English,,
222,The Enduring Hemingway: An Anthology of a Lifetime In Literature,"First published January 28, 1974",Ernest Hemingway,Biography,3.92,13 ratings,"864 pages, Hardcover",10,English,4 people are currently reading,54 people want to read
223,The Tradesman's Return,ebook,Ernest Hemingway,Short Stories,3.64,14 ratings,ebook,11,,3 people want to read,
224,61 Short Stories: Ernest Hemingway Collection,"First published January 12, 2015",Ernest Hemingway,,4.55,11 ratings,"621 pages, Kindle Edition",12,,,
225,Salas straumē,"Published January 1, 1989",Ernest Hemingway,,4.17,12 ratings,"812 pages, Hardcover",13,,,
226,In His Time: The Early Stories of Ernest Hemingway,"Published December 13, 2022",Ernest Hemingway,Graphic Novels,3.57,14 ratings,"188 pages, Kindle Edition",14,English,29 people want to read,
227,世界八大文豪合集（套装八册）,"Published July 6, 2017",Ernest Hemingway,,4.45,11 ratings,"4489 pages, Kindle Edition",15,,,
228,Les forêts du Nord,"First published September 1, 2008",Ernest Hemingway,,3.50,14 ratings,"108 pages, Pocket Book",16,Multiple languages,,
229,Cat in the Rain: A Short Story,"Published February 7, 2022",Ernest Hemingway,,4.08,12 ratings,Kindle Edition,17,,,
230,"By-Line Ernest Hemingway, Part 2","First published January 1, 1939",Ernest Hemingway,,4.36,11 ratings,Audio Cassette,18,English,,
231,Zbohom zbraniam; Komu zvonia do hrobu; Starec a more,"Published January 1, 1973",Ernest Hemingway,,4.27,11 ratings,"878 pages, Hardcover",19,,,
232,"The Letters of Ernest Hemingway: Volume 5, 1932-1934: 1932-1934","Published June 30, 2020",Ernest Hemingway,,4.27,11 ratings,"840 pages, Hardcover",20,English,,
233,شب پیش از پیاده شدن,"12 pages, Paperback",Ernest Hemingway,Short Stories,2.14,22 ratings,"12 pages, Paperback",21,Persian,12 people want to read,
234,El viejo y el mar (TWINS),"Published September 5, 2013",Ernest Hemingway,,4.09,11 ratings,"144 pages, Hardcover",23,Spanish; Castilian,,
235,Žalios Afrikos kalvos. Turėti ir neturėti,"Published January 1, 1979",Ernest Hemingway,,3.50,12 ratings,"349 pages, Hardcover",25,,,
236,Эрнест Хемингуэй. Собрание сочинений в четырех томах. Том 1,"First published January 1, 1981",Ernest Hemingway,,4.67,9 ratings,"671 pages, Hardcover",27,,,
237,Trở lại Babylon,"Published January 1, 2023",Ernest Hemingway,Short Stories,3.73,11 ratings,"473 pages, Paperback",28,Vietnamese,4 people are currently reading,31 people want to read
238,The Old Man and the Sea. Sekundarstufe II.,"Published December 1, 1999",Ernest Hemingway,,4.10,10 ratings,"78 pages, Paperback",29,,,
239,"hemingway, Dag en Nacht Feest. Herinneringen aan Parijs","First published January 1, 1964",Ernest Hemingway,,3.33,12 ratings,"203 pages, Hardcover",30,Dutch; Flemish,,
240,The Sun Also Rises (Annotated): The Original and Unabridged 1926 Classic Edition with Hemingway Biography and Historical Context,"Published October 3, 2023",Ernest Hemingway,,3.62,13 ratings,"262 pages, Kindle Edition",1,,,
241,Klokkene ringer for deg. B 1,"First published October 21, 1940",Ernest Hemingway,,3.91,11 ratings,"239 pages, Hardcover",2,Norwegian,,
242,Great News from the Mainland,"3 pages, Paperback",Ernest Hemingway,Short Stories,3.07,14 ratings,"3 pages, Paperback",3,,2 people want to read,
243,The Torrents of Spring / The Sun Also Rises / A Farewell to Arms / To Have and To Have Not / For Whom the Bell Tolls / Across the River and Into the Trees / The Old Man and the Sea / Death in the Afternoon / Green Hills of Africa / A Moveable Feast,"First published January 6, 2015",Ernest Hemingway,,4.44,9 ratings,Kindle Edition,4,,,
244,Der er ingen ende på Paris. Den reviderede udgave,"Published May 30, 2013",Ernest Hemingway,,3.55,11 ratings,Kindle Edition,5,Danish,,
245,Three Novels of Ernest Hemingway,"First published January 1, 1972",Ernest Hemingway,,3.90,10 ratings,"650 pages, Paperback",6,English,,
246,Le soleil se lève aussi,"Published January 12, 2023",Ernest Hemingway,,3.25,12 ratings,"352 pages, Pocket Book",7,French,,
247,老人与海,"Published March 1, 2017",Ernest Hemingway,,3.80,10 ratings,"123 pages, Hardcover",8,Chinese,,
248,The Old Man & The Sea,"Published October 15, 2022",Ernest Hemingway,,4.22,9 ratings,"111 pages, Kindle Edition",9,,,
249,... Īsais Laimes Brīdis. Izlase.,"Published January 1, 1986",Ernest Hemingway,Fiction,3.17,12 ratings,"844 pages, Hardcover",10,,1 person is currently reading,9 people want to read
250,Noveller i samling,"Published January 1, 2019",Ernest Hemingway,Short Stories,4.11,9 ratings,"225 pages, Paperback",14,Norwegian,2 people are currently reading,4 people want to read
251,"Pentru cine bat clopotele, vol. 1","Published January 1, 1971",Ernest Hemingway,,4.00,9 ratings,"341 pages, Paperback",15,,,
252,Le vieil homme et la mer,"Published June 9, 2016",Ernest Hemingway,,3.27,11 ratings,"176 pages, Pocket Book",16,French,,
253,Askerin Dönüşü,"Published February 1, 1983",Ernest Hemingway,,3.60,10 ratings,"160 pages, Paperback",17,Turkish,,
254,"VIEJO Y EL MAR, EL","Published January 1, 2015",Ernest Hemingway,,4.38,8 ratings,Paperback,18,Spanish; Castilian,,
255,Der alte Mann und das Meer. Erläuterungen und Materialien,"First published January 1, 2003",Ernest Hemingway,,3.89,9 ratings,"90 pages, Paperback",19,German,,
256,Neues vom Festland. Stories.,"First published May 1, 1992",Ernest Hemingway,,3.50,10 ratings,"188 pages, Paperback",20,German,,
257,از پا نیفتاده و ده داستان دیگر,"First published January 1, 1963",Ernest Hemingway,,2.92,12 ratings,118 pages,21,,,
258,Հրաժեշտ զենքին,"First published January 1, 1929",Ernest Hemingway,,3.78,9 ratings,"300 pages, Hardcover",22,,,
